"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;Фото;Описание
Плед;Эльф;Vladi;Украина;;Э-140-01-03;140х200;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877290007;;;;;"Тональность изделия может отличаться от фото";;;;"70% овечья шерсть+30% ПЭ";"01-03 Бел/салат/зел 140х200 Эльф плед новозеланд. шерсть";6;1093;http://alvitek.com.ru/upload/iblock/132/132cf36c43b95a19ba70a1f5420c216e.jpeg;
Плед;Эльф;Vladi;Украина;;"Э-170- 02-07";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877290014;;;;;"Тональность изделия может отличаться от фото";;;;"70% овечья шерсть+30% ПЭ";"02-07 Бел/красн/черн 170х210 Эльф плед новозеланд. шерсть";13;1323;http://alvitek.com.ru/upload/iblock/6ab/6ab3f62e1b61626983895b830f286467.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
Подушка;Сахара;"AlViTek (АльВиТек)";Россия;Традиция;ПМВ-070;68х68;;Средняя;;;;;;;"Верблюжья шерсть,пэ";"Искуственный ""Лебяжий пух""";;"100 гр/кв.м";"0,8 кг";Микрофибра;"100%  пэ";;;;;"Многоигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048008416;;Кремовый;;;"Тональность изделия может отличаться от фото";;1,2кг;;;"ПМВ-070 Подушка ""Сахара-Эко"" 68х68";51;445;http://alvitek.com.ru/upload/iblock/784/7849da12b80b494af3f1dd0512cd68ae.jpeg;"подушка: стеганный чехол (наполнитель верблюжья шерсть 100 г/кв.м, ткань - микрофибра), наполнитель ""Лебяжий пух"" ( 1кг высокосиликонизированное микроволокно), кант атласный, бирка, постер, в сумке"
Одеяло;Холфит;"AlViTek (АльВиТек)";Россия;Комфорт;ОБТФН-О-15;140х205;Легкое;;;;;;;Холфит-пласт;;;"200 гр/кв.м";;;Полисатин;"100%  пэ";;;;;"Одноигольная машина";"Бейка ПЭ";"Пакет с ручкой";;;;;4607048004289;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"ОБТФН-О-15  Одеяло 140х205 легкое";9;499;http://alvitek.com.ru/upload/iblock/a8f/a8f6e0c3c138dfa38dd074afb32eeac9.jpeg;"одеяло с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 200 г/кв.м), чехол -ПЭ, окантовка- бейка ПЭ, бирка, постер, в пакете с ручкой"
Простыня;;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-20;180х214;;;;;;Обычная;;;;;;;;Бязь;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048005033;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"Простынь 180*214 ткань хлопок ПР-20";31;359;http://alvitek.com.ru/upload/iblock/dec/decfeb3a36c263ebb53fe0d5526bca85.jpeg;"ткань-бязь(хлопок 100%), бирка, постер, пакет"
Подушка;Антикризис;"AlViTek (АльВиТек)";Россия;;СП-060;60х60;;Средняя;;;;;;"Холфит-шарики (15dх64)";;;"0,56 кг";;;Спанбонд;"100%  полипропилен";;;;;;;Пакет;;;;;2000702370270;;Белый;;;"Тональность изделия может отличаться от фото";;;;;"СП-060 Подушка 60х60 чехол спанбонд нап. холфит(500гр)";2;143;http://alvitek.com.ru/upload/iblock/d57/d57abb0c4fd36ab2e7179c089b94ead2.jpeg;"подушка с наполнителем ""Холфит-шарики""   (500 гр. полое силиконизированное волокно 15Dx64  ), чехол - ткань спандбонд (100% ПЭ), без канта, бирка"
"Набор полотенец";;"Метеор Текстиль";Турция;;"Метеор -9202";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925521022;;;;;"Тональность изделия может отличаться от фото";;;;;"9202 Кофе В  (40х60)х2шт в коробке Набор кухонный Метеор";1;210;http://alvitek.com.ru/upload/iblock/c69/c69168ba543352154f4b1efd3833d6a8.jpeg;
"Набор полотенец";;"Метеор Текстиль";Турция;;"Метеор -9203";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925521039;;;;;"Тональность изделия может отличаться от фото";;;;;"9203 Фрукты В  (40х60)х2шт в коробке Набор кухонный Метеор";12;210;http://alvitek.com.ru/upload/iblock/215/21580e94eb41e11b15b39ac001d482ab.jpeg;
"Набор полотенец";;"Метеор Текстиль";Турция;;"Метеор -9221";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"3 шт.";;;2000925521060;;;;;"Тональность изделия может отличаться от фото";;;;;"9221 Поварята В  (40х60)х3шт в коробке Набор кухонный Метеор";9;281;http://alvitek.com.ru/upload/iblock/c87/c8753d6c65c611751d8422d3dd529d12.jpeg;
"Набор полотенец";;"Метеор Текстиль";Турция;;"Метеор -8393";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"3 шт.";;;2000925521053;;;;;"Тональность изделия может отличаться от фото";;;;;"8393 Поварята В  (40х60)х3шт в коробке Набор кухонный Метеор";17;281;http://alvitek.com.ru/upload/iblock/1fd/1fd79c9bded922841fe0bad1e674b884.jpeg;
"Набор полотенец";;MERZUKA;Турция;;"MERZUKA-9251 Кремовый";50х80+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925521169;;;;;;;;;;"9251 Кремовый  BUTTERFLY  (50х80+70х130 ) в коробке Набор полотенец MERZUKA";2;691;http://alvitek.com.ru/upload/iblock/81a/81a76e3643667a36d227fddab2dc6bf3.jpeg;
"Набор полотенец";;MERZUKA;Турция;;"MERZUKA-9251 Светло-лил";50х80+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925521190;;;;;;;;;;"9251 Светло-лиловый  BUTTERFLY  (50х80+70х130 ) в коробке Набор полотенец MERZUKA";3;691;http://alvitek.com.ru/upload/iblock/727/72725b2c5d983b161661c07b1b8ca64d.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-4;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514666;;;;;"Тональность изделия может отличаться от фото";;;;;"L-4 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";1;1854;http://alvitek.com.ru/upload/iblock/6a7/6a7ce7869766ae000c96a449a41d9495.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-7;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514697;;;;;"Тональность изделия может отличаться от фото";;;;;"L-7 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";2;1854;http://alvitek.com.ru/upload/iblock/c70/c70f4ba9c0aa581128af0aadab5ba0b8.jpeg;
