"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;Фото;Описание
Одеяло;Гостиница;"AlViTek (АльВиТек)";Россия;Стандарт;ОГП-О-15;140х205;Средняя;;;;;;;Холфит-пласт;;;"200 гр/кв.м";;;Поликоттон;"50% хлопок/50% полиэстр";;;;;"Многоигольная машина";Бейка;Пакет;;;;;4607048007822;;Белый;;;"Тональность изделия может отличаться от фото";;;;;"ОГП-О-15 Одеяло ""Гостиница"" 140х205 (мин.10шт)";1;797;http://alvitek.com.ru/upload/iblock/a90/a9040eb2a7cf3a04e21858348c4a678f.jpeg;"одеяло с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 200 г/кв.м), чехол - ткань смесовая (поликоттон; 50% - хлопок/50% - полиэстер; 120 г/кв.м) , косая бейка, бирка, в пакете"
Плед;Эльф;Vladi;Украина;;Э-140-01-03;140х200;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877290007;;;;;"Тональность изделия может отличаться от фото";;;;"70% овечья шерсть+30% ПЭ";"01-03 Бел/салат/зел 140х200 Эльф плед новозеланд. шерсть";23;1093;http://alvitek.com.ru/upload/iblock/716/7163cf8ecc06de10673d32a8c9408461.jpeg;
Плед;Эльф;Vladi;Украина;;"Э-170- 02-07";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877290014;;;;;"Тональность изделия может отличаться от фото";;;;"70% овечья шерсть+30% ПЭ";"02-07 Бел/красн/черн 170х210 Эльф плед новозеланд. шерсть";5;1323;http://alvitek.com.ru/upload/iblock/66f/66f3988f1e4ed9e0a0f9886b891e5c4e.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
Подушка;Сахара;"AlViTek (АльВиТек)";Россия;Традиция;ПМВ-070;68х68;;Средняя;;;;;;;"Верблюжья шерсть,пэ";"Искуственный ""Лебяжий пух""";;"100 гр/кв.м";"0,8 кг";Микрофибра;"100%  пэ";;;;;"Многоигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048008416;;Кремовый;;;"Тональность изделия может отличаться от фото";;1,2кг;;;"ПМВ-070 Подушка ""Сахара-Эко"" 68х68";43;445;http://alvitek.com.ru/upload/iblock/5e9/5e95857cfd7096eeffe234a42770e4af.jpeg;"подушка: стеганный чехол (наполнитель верблюжья шерсть 100 г/кв.м, ткань - микрофибра), наполнитель ""Лебяжий пух"" ( 1кг высокосиликонизированное микроволокно), кант атласный, бирка, постер, в сумке"
"Одеяло байковое";;Ермолино;Россия;;"ОБ-100х140 57-8ЕТЖ-малина";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000900108170;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;"100% хлопок";"Малина  Байковое жаккард 100х140 100% х/б арт. 57-8ЕТЖ Ермолино одеяло";3;457;http://alvitek.com.ru/upload/iblock/af1/af1371b6359b0cbb09826118d401aa84.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
Покрывало;;Марианна;Россия;;"П-ло 150- Элит-006";150х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000900103021;;;;;;;;;;"006  150х220 Элит Однотонное комбинированное ультрастеп Покрывало  Марианна";1;380;http://alvitek.com.ru/upload/iblock/61b/61b441808fa461cfe12a78c2d44dec7c.jpeg;
Покрывало;;Марианна;Россия;;"П-ло 200- Элит-006";200х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000900103045;;;;;;;;;;"006  200х220 Элит Однотонное комбинированное ультрастеп Покрывало  Марианна";4;437;http://alvitek.com.ru/upload/iblock/561/56180e341c61285c664c89de1f1753a7.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;В-22-141;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000785581044;;;;;"Тональность изделия может отличаться от фото";;;;;"B-141 КПБ евро сатин ""САЙЛИД""";1;2724;http://alvitek.com.ru/upload/iblock/406/4062c46887eac4428313b9c7290dd9c6.jpeg;
Наматрасник;Полиуритан;"AlViTek (АльВиТек)";Россия;;МПУ-6-140;140х200;;Упругая;;;;;"6 см";Пенополиуритан;;;"18 кг/куб.м";;;Микрофибра;"100%  пэ";Молния;;;Резинка;;Кант;Пакет;;;;;4607048003268;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"МПУ-6-140 Наматрацник ""Полиуритан"" (140х200х6)";3;1553;http://alvitek.com.ru/upload/iblock/977/977bf55bec3656917073276f1aeac854.jpeg;"матрас полиуретановый, чехол - на молнии с резинками, ткань - микрофибра , наполнитель - полиэфир (вспененный полиуретан повышенной плотности), высота - 6см, бирка, упаковка - пленка ПЭ"
Одеяло;Холфит;"AlViTek (АльВиТек)";Россия;Комфорт;ОБТФН-О-15;140х205;Легкое;;;;;;;Холфит-пласт;;;"200 гр/кв.м";;;Полисатин;"100%  пэ";;;;;"Одноигольная машина";"Бейка ПЭ";"Пакет с ручкой";;;;;4607048004289;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"ОБТФН-О-15  Одеяло 140х205 легкое";10;499;http://alvitek.com.ru/upload/iblock/213/2135f9628b19c9d9e65f54ea782b316b.jpeg;"одеяло с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 200 г/кв.м), чехол -ПЭ, окантовка- бейка ПЭ, бирка, постер, в пакете с ручкой"
